occurrences,term
105,square foot
105,year for
105,with points
105,support for
105,the party
105,designed to
105,go on
105,think about
105,out with
105,the bar
105,committed to
105,the driver
105,known for
105,not in
104,to cover
104,will make
104,after being
104,parking lot
104,one in
104,we would
104,one thing
104,the health
104,in court
104,are on
104,are now
104,he does
104,none of
104,the good
104,to vote
104,in september
103,be held
103,making the
103,last two
103,but as
103,the phone
103,the course
103,and half
103,of about
103,served as
103,game in
103,about this
103,the loss
103,said to
103,followed by
103,to share
103,it should
103,it an
102,the following
102,orange county
102,in on
102,the regular
102,came in
102,says that
102,health and
102,it for
102,percent from
102,the gop
102,idea of
102,the left
102,day and
102,this weekend
102,the missouri
102,york city
102,her mother
102,noted that
102,the office
102,here in
102,chairman of
102,come from
102,new orleans
102,now and
102,president obama
102,the weekend
102,became the
102,where it
102,are expected
101,the post
101,friday night
101,to lose
101,the results
101,or two
101,think of
101,come up
101,are no
101,you might
101,it might
101,the defense
101,in what
101,season with
101,square feet
101,came out
101,friends and
101,might not
101,built in
101,of more
101,the table
101,led by
101,to comment
101,told me
101,the chicago
100,second round
100,at no
100,that may
100,than in
100,to serve
100,to offer
100,with my
100,the associated
100,his home
100,after that
100,they say
100,north carolina
100,have made
100,that way
100,the wall
100,care of
100,and four
100,as result
100,for many
100,result of
100,as far
100,give the
100,the music
99,it but
99,pair of
99,the very
99,what to
99,it does
99,about that
99,him he
99,days of
99,in but
99,the meeting
99,to report
99,million for
99,born in
99,we did
99,best of
99,will go
99,open to
99,the measure
99,it may
99,the media
99,in portland
99,money for
98,these are
98,depending on
98,have done
98,to more
98,business and
98,to other
98,although the
98,the tigers
98,required to
98,asked to
98,the fifth
98,risk of
98,life and
98,things that
98,questions about
98,the victim
98,her own
98,in state
98,was at
98,day in
98,hopes to
98,the investigation
98,to what
98,and another
98,of years
97,is for
97,very good
97,time when
97,first year
97,and our
97,as of
97,using the
97,said was
97,where you
97,compared to
97,early in
97,has already
97,we know
97,to back
97,where we
97,fourth quarter
97,and also
97,but for
97,yards and
96,come in
96,the war
96,are being
96,it been
96,his son
96,to allow
96,will help
96,about their
96,his team
96,least one
96,are so
96,the fall
96,we could
96,come out
96,here are
96,in october
96,refused to
96,the river
96,the kitchen
96,just like
95,how it
95,who would
95,run for
95,with your
95,in terms
95,it that
95,the heart
95,to lead
95,he wanted
95,first two
95,all time
95,the hotel
95,the star
95,at times
95,and those
95,the town
95,an opportunity
95,go out
95,in more
95,total of
95,to ask
95,to my
95,lives in
95,in late
94,the industry
94,was able
94,to send
94,than two
94,the shooting
94,to ensure
94,the stage
94,round of
94,to set
94,leave the
94,the tax
94,team and
94,point guard
94,story of
94,to sign
94,of and
94,nothing to
94,said at
94,its first
94,your own
94,for what
94,but was
94,and many
94,allowed to
94,appears to
94,children and
94,charge of
94,but with
93,are you
93,the child
93,with three
93,start of
93,he took
93,average of
93,up at
93,tell you
93,the democratic
93,the conference
93,his life
93,little more
93,on and
93,in early
93,three times
93,it hard
93,do so
93,be done
93,share of
93,to some
93,the students
93,this point
93,the sixth
93,it like
93,now it
92,to grow
92,in both
92,figure out
92,of year
92,be good
92,form of
92,of some
92,the recession
92,looks like
92,county sheriff
92,was about
92,the women
92,saw the
92,beyond the
92,the person
92,they should
92,school board
92,from its
